Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0007136,0.0003576,0.0002343,0.0002805,0.0002752,0.0002562,0.0002073,0.0002929,0.0003769,0.0003505,0.159415,0.161209,0.0989809,0.159706,0.164317,0.136634,0.120068,0.158915,0.159632,0.162796,,0.14816729
0.0002717,0.000177,0.0002532,0.0001799,0.0001918,0.0002574,0.0001716,0.0001786,0.0002514,0.000246,0.0745377,0.173024,0.0772148,0.142807,0.142786,0.146054,0.0882825,0.141309,0.143855,0.144031,,0.1273901
0.0001763,0.0002323,0.0001646,0.0003517,0.0001955,0.0003306,0.0001946,0.0001774,0.0001831,0.0003081,0.213149,0.190773,0.143818,0.144942,0.17135,0.2176,0.145669,0.287125,0.209551,0.245631,,0.1969608
0.0001529,0.0002438,0.0002496,0.0002474,0.0002837,0.0002379,0.000254,0.0002762,0.0002339,0.0001813,0.0760382,0.0307246,0.0312026,0.0284158,0.0690687,0.0301519,0.0615064,0.0671114,0.0303663,0.0410456,,0.04656315
0.0002309,0.0001526,0.000225,0.0003598,0.000241,0.0001633,0.0002325,0.0003009,0.0001785,0.0001726,0.030323,0.0182264,0.0182547,0.0177857,0.0411048,0.0191916,0.0540482,0.0500757,0.0188276,0.0227194,,0.02905571
0.0003479,0.0002623,0.0002519,0.0002393,0.0002439,0.0002604,0.0002641,0.0002433,0.0001945,0.0001573,0.123211,0.0501319,0.0433109,0.0426868,0.0829982,0.0443029,0.101095,0.0974742,0.0762789,0.13763,,0.07991198
0.000325,0.0001939,0.0001589,0.0001558,0.0001917,0.0001584,0.0001948,0.0002396,0.0003127,0.0002644,0.0488431,0.0208651,0.0185211,0.0168636,0.024552,0.0179659,0.0443929,0.0553415,0.0602544,0.0375059,,0.03451055
0.0002196,0.0002145,0.0002505,0.0002323,0.000266,0.0002485,0.0002243,0.0003182,0.0003214,0.0002059,0.0163142,0.0058625,0.0048526,0.0049516,0.0058961,0.0053876,0.0111088,0.016435,0.0159758,0.0084248,,0.0095209
0.0002566,0.000107,0.0001328,0.0001266,0.0002053,0.000128,0.0001975,0.0003097,0.0002206,0.0001815,0.0021314,0.0007486,0.0006219,0.0006518,0.0008063,0.0007544,0.0015774,0.0024089,0.0021008,0.0010116,,0.00128131
0.0002108,0.0001663,0.0001689,0.0001666,0.0001941,0.000184,0.000187,0.0002685,0.0001926,0.0002418,0.0012884,0.0004482,0.0004073,0.0003978,0.0009917,0.0004571,0.0009494,0.0012052,0.0011295,0.0006998,,0.00079744
,,,,,,,,,,,,,,,,,,,,,0.067415923
