Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0005942,0.0003157,0.0002457,0.000178,0.0002011,0.0002712,0.0002054,0.0002479,0.0001957,0.0002453,0.266385,0.315188,0.261197,0.178372,0.235556,0.239225,0.210821,0.220861,0.188248,0.246236,,0.2362089
0.0002233,0.0001739,0.0001765,0.0002524,0.0001747,0.0001699,0.0002341,0.0002515,0.0002394,0.0002549,0.265545,0.268985,0.257949,0.225595,0.210711,0.267551,0.260699,0.226135,0.215502,0.282607,,0.2481279
0.0003903,0.0002482,0.0001476,0.0001693,0.0002568,0.00015,0.0002529,0.0002405,0.0001682,0.0001638,0.235235,0.242445,0.164034,0.194515,0.245287,0.16486,0.25991,0.236838,0.200295,0.246646,,0.2190065
0.0002717,0.0002426,0.0002589,0.0001514,0.0002375,0.0002355,0.0002504,0.0002306,0.0002558,0.000402,0.0702772,0.0690507,0.0293033,0.0275017,0.029457,0.0279774,0.0692215,0.027164,0.027674,0.071467,,0.04490938
0.0001987,0.0003471,0.0002022,0.0001424,0.0001746,0.0001465,0.0001982,0.0001392,0.0001565,0.0002494,0.0415318,0.0538555,0.0182368,0.0178661,0.018463,0.0181123,0.0466811,0.017696,0.0509343,0.0484897,,0.03318666
0.0002142,0.0002303,0.0002291,0.0002127,0.0002549,0.0002261,0.0002991,0.0002208,0.0002462,0.0002907,0.101853,0.109448,0.046983,0.0465338,0.0483485,0.0473128,0.082361,0.0454442,0.110781,0.103868,,0.07429333
0.0002423,0.0001776,0.0001573,0.0001473,0.0001687,0.0001482,0.0001776,0.000146,0.0001804,0.0001862,0.0496091,0.0237341,0.016602,0.0176046,0.0169835,0.019167,0.0211502,0.0155872,0.0233254,0.0459114,,0.02496745
0.0002687,0.0001661,0.0002321,0.000187,0.0002577,0.0002103,0.000256,0.0002056,0.0002208,0.0002669,0.0140576,0.0062959,0.0043266,0.0043093,0.0043685,0.005503,0.00538,0.0044567,0.0065408,0.0126525,,0.00678909
0.0002379,0.0001282,0.0001173,6.71E-05,0.000135,0.0001125,0.000132,0.00011,0.0001267,0.0002716,0.0022036,0.0008101,0.0005592,0.0005408,0.0005642,0.0006808,0.0006561,0.0005647,0.0012679,0.0015671,,0.00094145
0.0002451,0.0001692,0.0001909,5.50E-05,0.0001756,0.0001781,0.0001981,0.0001715,0.0001753,0.000233,0.0010616,0.0004845,0.0003724,0.0002974,0.0003695,0.0004211,0.0004341,0.000356,0.000491,0.000955,,0.00052426
,,,,,,,,,,,,,,,,,,,,,0.088895492
