Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0007511,0.0003214,0.0002536,0.0003371,0.0003473,0.0003209,0.0003152,0.0003015,0.0003846,0.0003464,3.50447,3.20222,2.99504,3.00652,2.9329,2.93052,2.93126,2.92398,2.98931,2.93751,,3.035373
0.000255,0.0001909,0.0002291,0.0005645,0.0004004,0.0004066,0.0003847,0.0002939,0.0003101,0.0004841,3.0335,2.68734,2.83797,2.87007,2.73066,2.80801,2.7289,2.79265,2.75124,2.77781,,2.801815
0.0002719,0.0001716,0.0001967,0.0003702,0.0003929,0.0003788,0.0002536,0.0002515,0.0003741,0.0002541,2.00823,1.99399,2.03037,1.76681,1.93929,1.80723,1.8356,1.86374,1.82262,1.92667,,1.899455
0.0002872,0.0002616,0.0004669,0.0006798,0.000225,0.0002896,0.0003803,0.0002543,0.0002558,0.0003773,0.477873,0.470508,0.480712,0.481415,0.478955,0.47794,0.489841,0.485108,0.489482,0.491534,,0.4823368
0.0001577,0.0001641,0.0001844,0.0001622,0.000216,0.0002324,0.0002231,0.0002011,0.0001681,0.0002418,0.287453,0.232101,0.293841,0.287498,0.281913,0.289158,0.295234,0.288559,0.288949,0.294356,,0.2839062
0.0001683,0.0002347,0.0002621,0.0003704,0.0003854,0.0004294,0.0004908,0.0003642,0.0001683,0.0003749,0.749,0.654384,0.691073,0.676657,0.674003,0.686959,0.667227,0.665433,0.664645,0.678998,,0.6808379
0.000173,0.0001588,0.0002544,0.0002409,0.0002438,0.0001763,0.0002389,0.0002612,0.0002256,0.000181,0.0871208,0.0753676,0.140179,0.142116,0.140625,0.139992,0.139271,0.141592,0.140205,0.140087,,0.12865554
0.0002865,0.0002457,0.0003188,0.0003391,0.0002583,0.0002139,0.0002766,0.0003712,0.0003875,0.0002078,0.149677,0.0900886,0.150816,0.151949,0.151002,0.151532,0.150629,0.152469,0.153301,0.150733,,0.14521966
0.000205,0.0001614,0.0001552,0.0001471,0.0003729,0.0002402,0.0002201,0.0001891,0.0002148,0.0001721,0.098911,0.0426198,0.101001,0.101095,0.0990082,0.0993584,0.101408,0.0991919,0.0991991,0.0444808,,0.08862732
0.0003741,0.0002187,0.0002424,0.0004122,0.0002066,0.0001871,0.0003174,0.0002939,0.0003127,0.0003512,0.0126552,0.0046693,0.0120397,0.0128488,0.012977,0.0128427,0.0128445,0.0123058,0.012716,0.0112006,,0.01170996
0.0002383,0.0001082,0.0002522,0.000247,0.0002307,0.0002662,0.0003505,0.0002548,0.0002277,0.0002438,0.0103717,0.0039232,0.00967,0.0098391,0.0098183,0.0098958,0.0097768,0.0098642,0.0098981,0.0071802,,0.00902374
0.0005496,0.0001914,0.0002598,0.0002058,0.0002286,0.0002082,0.0002826,0.0002771,0.0002324,0.000369,0.0146578,0.0054383,0.0142486,0.0144774,0.0142766,0.0145376,0.0144682,0.0144361,0.014656,0.0145442,,0.01357408
0.0002922,0.0001137,0.0002513,0.0002248,0.000237,0.0002219,0.0002491,0.0002658,0.000227,0.0002261,0.0021693,0.0008234,0.0022343,0.0022984,0.0022923,0.0023066,0.0022293,0.002199,0.0026015,0.0022048,,0.00213589
0.0002197,0.0002556,0.0002337,0.0002076,0.0001844,0.0001763,0.0002471,0.0002364,0.0002401,0.0002271,0.0009139,0.0003756,0.0009492,0.0009766,0.0009131,0.000902,0.0009594,0.0009624,0.0009128,0.0009694,,0.00088344
0.0002218,0.0001016,0.0002345,0.0002357,0.0002416,0.0002197,0.0002342,0.0002272,0.0002323,0.0002487,0.0002342,0.0001254,0.0002846,0.000289,0.0002594,0.0002761,0.0003398,0.0003733,0.0002678,0.0002684,,0.0002718
0.0002148,0.0001589,0.0002157,0.0001859,0.0001548,0.0001687,0.0002241,0.0002492,0.0001712,0.00021,0.0001699,7.33E-05,0.0001767,0.0001727,0.0001675,0.0001644,0.0001692,0.000286,0.0001713,0.0001717,,0.00017227
,,,,,,,,,,,,,,,,,,,,,0.59899985
