Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0001531,0.0001495,0.0001462,0.0001753,0.0001365,0.0001577,0.0001475,0.0001514,0.0001432,0.0001734,0.0001451,0.0001433,0.0001408,0.0001451,0.0001425,0.0001407,0.0001412,0.0001365,0.0001384,0.0001408,0.0001404,0.0001555,0.000141,0.0001404,0.0001411,0.000146664
0.0001387,0.0002508,0.0001827,0.0001785,0.0001402,0.0001559,0.0001543,0.0002034,0.0001745,0.0001498,0.0001727,0.0001794,0.0001417,0.000143,0.000142,0.0001421,0.0001419,0.0001375,0.0001394,0.0001419,0.0001417,0.0001416,0.0001426,0.0001425,0.0001688,0.000157904
0.0002234,0.0001861,0.0002139,0.0001728,0.0001711,0.0002027,0.0001749,0.0002277,0.0001808,0.0002151,0.0001775,0.0001752,0.0001729,0.0001746,0.0001744,0.0001736,0.000173,0.0001687,0.0001772,0.0001735,0.0001771,0.0001726,0.0001762,0.0001732,0.000173,0.000183248
0.0001957,0.0002391,0.0001957,0.000191,0.0001521,0.0001698,0.0001989,0.0002008,0.0002024,0.00016,0.0001888,0.000154,0.000154,0.0001567,0.0001581,0.0001552,0.0001577,0.0001509,0.0001538,0.0001539,0.0001541,0.000155,0.0001545,0.0001541,0.0001919,0.000171928
0.0001271,0.0001112,0.0001452,9.61e-05,9.44e-05,0.0001197,0.0001035,0.0001032,0.0001248,0.0001165,0.0001035,9.83e-05,9.86e-05,0.0001008,0.0001204,0.0001453,0.0001001,9.39e-05,9.89e-05,9.79e-05,9.75e-05,9.72e-05,9.8e-05,9.72e-05,9.79e-05,0.000107488
0.0003187,0.0002458,0.0003163,0.0002349,0.0002395,0.0002505,0.0002427,0.0002963,0.0003062,0.0002405,0.0002927,0.0002354,0.0002367,0.0002358,0.0002352,0.0003007,0.0002374,0.0002311,0.0002364,0.0002352,0.0002362,0.0002345,0.0002369,0.0002547,0.0002368,0.000254684
0.0002567,0.0002025,0.0002429,0.0001938,0.0002015,0.0002446,0.0001961,0.0002023,0.0002366,0.0002374,0.0001956,0.000194,0.0001906,0.0001931,0.0001914,0.000198,0.0001901,0.0001924,0.0001915,0.0001962,0.0001917,0.0001917,0.000191,0.0002035,0.0001917,0.000204676
0.0001165,7.91e-05,9.95e-05,7.55e-05,8.54e-05,8.32e-05,7.71e-05,9.41e-05,9.1e-05,0.0001013,9.05e-05,8.07e-05,8.44e-05,8.12e-05,7.69e-05,8.35e-05,7.2e-05,8.94e-05,7.63e-05,7.6e-05,7.61e-05,7.76e-05,7.64e-05,8.75e-05,7.65e-05,8.4308e-05
9.84e-05,9.67e-05,8.87e-05,7.29e-05,7.28e-05,9.51e-05,7.97e-05,0.0001162,8.82e-05,7.66e-05,7.69e-05,7.52e-05,7.74e-05,7.66e-05,7.46e-05,7.63e-05,7.23e-05,7.18e-05,7.51e-05,7.51e-05,7.6e-05,7.59e-05,7.5e-05,7.52e-05,7.52e-05,8.0556e-05
8.54e-05,6.56e-05,8.86e-05,6.11e-05,6.17e-05,9.2e-05,8.43e-05,7.47e-05,7.46e-05,7.32e-05,7.26e-05,6.32e-05,6.47e-05,6.3e-05,6.47e-05,6.5e-05,5.9e-05,5.97e-05,6.28e-05,6.37e-05,6.59e-05,6.43e-05,6.34e-05,7.13e-05,6.34e-05,6.9116e-05
,,,,,,,,,,,,,,,,,,,,,,,,,0.000146057,0.000153446
