Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0042683,0.0039536,0.0043134,0.0041339,0.0035266,0.0033682,0.0034579,0.0038888,0.0034222,0.0042909,0.0042172,0.0047927,0.0045451,0.0042183,0.0045367,0.0046294,0.0042757,0.0036442,0.0033682,0.0036982,0.0040054,0.0035215,0.0032466,0.0033898,0.0042592,0.00395888
0.0037447,0.0049696,0.0044857,0.0049491,0.0054051,0.0053109,0.0052524,0.0044808,0.0051166,0.0046742,0.0052329,0.0041276,0.0053116,0.0047493,0.0051289,0.0051238,0.0046864,0.0052513,0.0050176,0.0053315,0.004834,0.0049442,0.0050836,0.0045636,0.0046126,0.00489552
0.0025704,0.0031817,0.0039395,0.0041955,0.0042528,0.0037416,0.0044938,0.0038615,0.0041797,0.0044934,0.0037971,0.0041659,0.0044945,0.0035134,0.0037453,0.0034324,0.0044934,0.0034282,0.0035191,0.0036613,0.0041573,0.004255,0.0035842,0.0036863,0.0035109,0.00385417
0.002419,0.0024454,0.002676,0.0018631,0.0028097,0.002537,0.0027497,0.0025992,0.001728,0.0026508,0.0023055,0.0020586,0.0026395,0.0017929,0.0022797,0.0026537,0.0017865,0.0023991,0.0024515,0.0025319,0.0026594,0.0028162,0.0025466,0.0027256,0.0018773,0.00240008
0.0019458,0.0018469,0.0023964,0.0014699,0.0022946,0.0023469,0.0013978,0.0023745,0.0026235,0.0025305,0.0025173,0.0024715,0.0026253,0.0026551,0.0017571,0.0025141,0.0016948,0.0024937,0.0014598,0.0014919,0.0023605,0.002496,0.0025228,0.0019001,0.0026394,0.00219305
0.0017805,0.0017813,0.0026051,0.0015844,0.0017112,0.0016846,0.0023282,0.0015941,0.0015257,0.0015439,0.0024335,0.0013531,0.0023906,0.0014015,0.001518,0.0023272,0.0015354,0.0017705,0.0016031,0.0016502,0.0016048,0.001714,0.0019813,0.0017289,0.0015159,0.00178668
0.000997,0.002063,0.0021218,0.0009749,0.0009576,0.0020815,0.0010117,0.0009711,0.0021042,0.0011995,0.0019795,0.0012852,0.0011829,0.0013408,0.0013212,0.0011861,0.0021241,0.0009611,0.001025,0.0010555,0.0009901,0.0020321,0.0020178,0.0011674,0.0020913,0.0014497
0.00059,0.0006083,0.0005876,0.0005703,0.0005563,0.0005876,0.0006183,0.000574,0.0005638,0.0005884,0.0006529,0.0005209,0.000559,0.0005177,0.0005859,0.0006077,0.0006611,0.0005539,0.0005966,0.0011816,0.0010885,0.0010228,0.0005971,0.0005875,0.0011906,0.000670736
0.0004123,0.0004763,0.0004685,0.0003925,0.0003838,0.0004041,0.0004234,0.0003926,0.0004813,0.0004611,0.0005453,0.0005298,0.0004589,0.0005315,0.0005862,0.0004849,0.0004699,0.0003819,0.0004302,0.0004417,0.0004008,0.0003819,0.0004176,0.0004638,0.0004843,0.000452184
0.0002929,0.0002867,0.0002837,0.0004625,0.0002658,0.0002663,0.0002989,0.0004592,0.0002865,0.0002645,0.000279,0.0002463,0.0002631,0.0002677,0.0002875,0.0002609,0.0002849,0.0002593,0.0002795,0.000528,0.0002903,0.0003029,0.0002835,0.0002637,0.0002612,0.000300992
,,,,,,,,,,,,,,,,,,,,,,,,,0.0021962,0.00346034
