Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0019648,0.0014689,0.0013753,0.0016762,0.0014381,0.0014456,0.0008756,0.0028119,0.0012193,0.002993,0.0088816,0.0090933,0.0091277,0.0090271,0.0094762,0.0097224,0.0158024,0.0116578,0.00769,0.0056705,,0.0096149
0.00153,0.0010684,0.0013639,0.0016607,0.0016977,0.0013967,0.0010609,0.0021636,0.0012279,0.0009277,0.0086599,0.0093562,0.0090858,0.0089758,0.0086541,0.008633,0.0112488,0.0117339,0.0077644,0.0051078,,0.00892197
0.0013169,0.0013307,0.0014527,0.0013399,0.0013051,0.0013296,0.0013515,0.0019513,0.0009746,0.0009598,0.0070228,0.0072281,0.0070859,0.007507,0.0082134,0.0075555,0.0110607,0.0095254,0.0048411,0.004747,,0.00747869
0.0007961,0.000797,0.0009329,0.0009866,0.0008197,0.0007796,0.0012177,0.0015145,0.0005301,0.0005902,0.0037292,0.0042427,0.0043494,0.0039493,0.0037345,0.003739,0.0060519,0.0053808,0.0025037,0.0026688,,0.00403493
0.0007265,0.0007291,0.0007739,0.000726,0.0007251,0.0007205,0.0016532,0.000493,0.0006945,0.000731,0.0037205,0.0037402,0.00372,0.0037259,0.0037327,0.0037958,0.0043066,0.0019874,0.002324,0.0026557,,0.00337088
0.0006985,0.0007263,0.0006961,0.0006957,0.0006959,0.0008622,0.0009636,0.001115,0.0004444,0.0012201,0.0034043,0.0035703,0.003489,0.0032134,0.0041317,0.0037776,0.0051187,0.0019775,0.001863,0.0046838,,0.00352293
0.0006698,0.0006624,0.0006645,0.0007042,0.0008091,0.0007136,0.0007969,0.0004119,0.0003624,0.0009815,0.0027851,0.0025318,0.0025999,0.0029856,0.0025408,0.0025223,0.0029369,0.0015448,0.0014188,0.0034954,,0.00253614
0.0006046,0.000598,0.0006443,0.0006563,0.0006032,0.0006065,0.0008959,0.0008252,0.0003205,0.0008456,0.0011969,0.0011954,0.0013168,0.0011964,0.0011965,0.0011927,0.0020543,0.0007162,0.0006472,0.0019353,,0.00126477
0.0003478,0.0003335,0.000388,0.0003259,0.0003306,0.0003315,0.0006364,0.0001884,0.0001679,0.0005502,0.0009941,0.0010053,0.001179,0.0010112,0.0009966,0.0009972,0.0010761,0.0005613,0.0005286,0.001654,,0.00100034
0.0002605,0.0002614,0.0003077,0.000262,0.0002807,0.0002275,0.0004938,0.0002966,0.0001345,0.0003358,0.0005254,0.0005222,0.000603,0.000525,0.0005268,0.0005227,0.0008054,0.0002974,0.0002817,0.0006799,,0.00052895
,,,,,,,,,,,,,,,,,,,,,0.00422745
