Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0006646,0.0005415,0.0004466,0.0004499,0.0004446,0.0004435,0.0004428,0.000444,0.0004466,0.0004426,0.000445,0.000443,0.0004456,0.0004444,0.0004432,0.0004734,0.0004473,0.000443,0.0004429,0.0004744,0.0004446,0.0004435,0.0004432,0.0004745,0.000444,0.000460748
0.0008437,0.0008776,0.0007568,0.000705,0.0007053,0.0007045,0.0007044,0.0007141,0.0007088,0.0007065,0.0007046,0.0007062,0.0007053,0.0007076,0.0007525,0.0007335,0.0007088,0.0007059,0.0007539,0.0007054,0.0007046,0.0007063,0.000753,0.0007061,0.0007102,0.000727624
0.0006379,0.0008347,0.0006449,0.0006098,0.0006093,0.000613,0.0006096,0.0006092,0.0006127,0.0006112,0.0006094,0.000611,0.000649,0.0006513,0.0006096,0.0006123,0.0006111,0.000647,0.0006108,0.0006253,0.0006094,0.000652,0.0006094,0.0006256,0.0006112,0.000629468
0.0002124,0.0001933,0.0001651,0.0001624,0.0001595,0.0001608,0.0001767,0.0001619,0.000161,0.0001613,0.0001661,0.0001603,0.0001607,0.0001602,0.0001612,0.0001723,0.0001693,0.0001608,0.0001662,0.0001624,0.0001688,0.0001618,0.0001602,0.0001607,0.0001679,0.000166932
0.0004687,0.0004256,0.0004285,0.0003771,0.0003762,0.0003773,0.0003772,0.0003825,0.0003788,0.0003784,0.0003781,0.000377,0.0003774,0.0003756,0.0003775,0.0004035,0.0003779,0.0003764,0.0003777,0.0003986,0.0003789,0.0003753,0.0003784,0.0004018,0.0003764,0.000388032
0.000471,0.0003878,0.0003879,0.0003848,0.0003835,0.0003873,0.000385,0.0003849,0.0004089,0.0003848,0.0003848,0.0003859,0.0003827,0.0003843,0.0004036,0.0003902,0.0003877,0.0003842,0.0004039,0.0004098,0.000381,0.0003832,0.0004035,0.0003862,0.0003832,0.000392804
0.0002226,0.0001884,0.0001884,0.0001812,0.0001824,0.0001814,0.0001833,0.0001805,0.0001833,0.000181,0.0002028,0.0001849,0.0001823,0.0001904,0.0001813,0.0001843,0.0001841,0.0001908,0.0001821,0.0001823,0.0001819,0.0001923,0.0001818,0.00018,0.0001819,0.000186228
0.0001391,0.0001165,0.0001643,0.0001182,0.0001147,0.0001144,0.000113,0.0001174,0.0001145,0.0001142,0.0001136,0.000119,0.0001157,0.0001135,0.0001135,0.0001175,0.000121,0.0001134,0.0001137,0.0001174,0.0001205,0.0001153,0.0001132,0.0001143,0.0001185,0.000118656
7.73e-05,6.03e-05,7.01e-05,6.36e-05,9.31e-05,6.27e-05,6.36e-05,6.22e-05,6.56e-05,6.09e-05,6.32e-05,6.47e-05,6.46e-05,6.17e-05,6.26e-05,9.95e-05,6.78e-05,6.11e-05,6.25e-05,6.38e-05,6.23e-05,6.16e-05,6.31e-05,6.64e-05,6.57e-05,6.68e-05
,,,,,,,,,,,,,,,,,,,,,,,,,0.000348588,0.000474561
