Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0017231,0.001499,0.0007567,0.0017486,0.0018033,0.0020245,0.0018378,0.0019535,0.0017049,0.0020062,1.15492,1.06227,1.00092,1.02714,1.1809,0.991795,0.996692,0.99372,0.997459,1.06549,,1.0471306
0.0014673,0.001434,0.0014746,0.0007971,0.0014493,0.0006679,0.0014642,0.0014958,0.0014583,0.0015879,0.972926,0.971798,1.10452,0.941396,0.948211,0.943508,0.93616,0.931364,0.95278,0.861858,,0.9564521
0.0007117,0.0013859,0.0029984,0.0015806,0.0006905,0.0015503,0.000647,0.0015528,0.0006729,0.0015596,0.648456,0.663408,0.774989,0.755339,0.671571,0.671034,0.666065,0.663289,0.679108,0.665447,,0.6858706
0.0012626,0.0005901,0.0012615,0.0013915,0.0005855,0.0006204,0.0013965,0.0005907,0.0006973,0.0006135,0.373175,0.370958,0.625672,0.498454,0.485593,0.409001,0.467341,0.406122,0.408151,0.405172,,0.4449639
0.0004102,0.0008226,0.0010906,0.0009544,0.0004074,0.0009521,0.001127,0.0009451,0.0009599,0.0009598,0.302922,0.319902,0.384992,0.426154,0.274645,0.410077,0.298333,0.344492,0.270996,0.341531,,0.3374044
0.0007912,0.0003886,0.0009888,0.0009025,0.0009121,0.0009126,0.0008331,0.0004101,0.0009386,0.0003965,0.205433,0.204087,0.298777,0.255827,0.257002,0.259418,0.254792,0.254189,0.316478,0.254274,,0.2560277
0.0002716,0.0004721,0.0005024,0.0005037,0.0002809,0.000644,0.0002736,0.0006188,0.0006317,0.0005283,0.0505182,0.0485748,0.10118,0.0459845,0.100555,0.0988691,0.0976828,0.0982004,0.0425089,0.0945135,,0.07785872
0.0004218,0.0003094,0.0005693,0.00025,0.000747,0.0003568,0.0006556,0.0003438,0.0004637,0.0003551,0.0236257,0.021928,0.0426466,0.0193427,0.0532312,0.0531778,0.0518597,0.0520533,0.0524765,0.052394,,0.04227355
0.0002494,0.0002542,0.0003833,0.000543,0.0004575,0.0005251,0.0005208,0.0004997,0.0004061,0.000499,0.0102655,0.0096283,0.0170604,0.0226236,0.0250836,0.0242463,0.0225934,0.0277952,0.0252203,0.0229911,,0.02075077
0.0003834,0.0002276,0.0004919,0.0005255,0.0005957,0.0004858,0.0004894,0.0004765,0.0004651,0.0004775,0.0039311,0.0036715,0.0054754,0.0079478,0.0079967,0.008243,0.0076379,0.0083042,0.0078064,0.0082271,,0.00692411
0.0001956,0.0002529,0.0002521,0.0003163,0.0003638,0.000331,0.0003177,0.0004606,0.0002713,0.0004604,0.0025855,0.0022973,0.0038229,0.0054733,0.0054571,0.0056549,0.0058371,0.0056811,0.0055349,0.0055528,,0.00478969
0.0002621,0.000135,0.0003078,0.0002975,0.000329,0.0002919,0.0003497,0.0003455,0.0003093,0.0002904,0.0018281,0.0017317,0.0024666,0.0038011,0.0037647,0.0037266,0.0038787,0.0041012,0.0040878,0.0036787,,0.00330652
0.0001616,0.0002484,0.0001945,0.0002773,0.0003045,0.0004231,0.0003162,0.0004133,0.0002842,0.0004359,0.0006253,0.0006172,0.0007982,0.0012536,0.0012724,0.0012356,0.0012322,0.0012942,0.0013428,0.0012668,,0.00109383
0.000209,0.0001214,0.0002728,0.0002686,0.0002735,0.0002669,0.0002656,0.0002672,0.0002681,0.0002726,0.000703,0.0006124,0.0008362,0.0014686,0.0014271,0.0014061,0.0014203,0.0014592,0.0014973,0.0014798,,0.001231
0.0002145,0.0002116,0.0001593,0.000272,0.0002776,0.0002693,0.0002694,0.0002762,0.0002426,0.0003108,0.0003281,0.0003145,0.0003694,0.0006285,0.0006252,0.0006193,0.0006188,0.0006426,0.0006306,0.0006588,,0.00054358
0.0001692,0.0001034,0.000196,0.0002136,0.000221,0.0002634,0.0002153,0.0001736,0.0002199,0.0002163,0.0001442,0.0001285,0.0001561,0.0002068,0.0002714,0.0002573,0.0002662,0.0001746,0.0002112,0.0002089,,0.00020252
0.0001025,0.0001565,9.77E-05,0.0002067,0.0002045,0.0002239,0.0002102,0.0002191,0.0001549,0.0002086,7.46E-05,7.29E-05,9.73E-05,0.0001662,0.0001732,0.0001743,0.0001843,0.000153,0.0001703,0.0001927,,0.00014588
0.0001264,7.44E-05,0.0001488,0.0001588,0.0002088,0.00016,0.0001725,0.0001524,0.0001621,0.0002034,7.69E-05,7.37E-05,8.63E-05,0.0001131,0.0002154,0.0001506,0.0001599,0.0001918,0.0001092,0.0001235,,0.00013004
6.63E-05,0.0001154,8.90E-05,0.0001463,0.0002042,0.0001592,0.0001489,0.0001941,0.0001123,0.000147,8.60E-05,6.58E-05,8.55E-05,0.000146,0.0001607,0.000148,0.0001517,0.0001217,0.0001457,0.0001525,,0.00012636
,,,,,,,,,,,,,,,,,,,,,0.204590835
